dt=50;dt=150;dt=700;dt=2000
0.176845;0.261921;0.6644034;0.6185045
0.1770877;0.2618739;0.6648905;0.6191171
0.1771858;0.2617618;0.6653604;0.6197249
0.1772493;0.2615567;0.6658713;0.6203697
0.177109;0.2612724;0.6663608;0.6210715
0.176982;0.2609203;0.6669051;0.6217457
0.176811;0.2604818;0.6674377;0.622394
0.176664;0.2600934;0.6680092;0.6230559
0.1764512;0.2597268;0.6685072;0.6237229
0.1765263;0.2593836;0.6690041;0.6244492
0.1763318;0.2591994;0.6695477;0.6251511
0.1758519;0.2589722;0.670076;0.625868
0.1755371;0.258639;0.6706386;0.6265807
0.1750768;0.2582656;0.6711816;0.627319
0.1744459;0.2578551;0.6717244;0.6280169
0.1738885;0.2573686;0.6722927;0.6287541
0.1732277;0.2568389;0.6728497;0.6294989
0.1723454;0.2561749;0.6735727;0.6302421
0.1715067;0.255747;0.6742457;0.6309839
0.1705468;0.2553458;0.6749526;0.631694
0.169445;0.2549137;0.6755996;0.6324157
0.1684595;0.2544258;0.6762127;0.6331468
0.1674137;0.2537798;0.6767597;0.633925
0.1664616;0.2532148;0.6773329;0.6347686
0.1653601;0.2526857;0.6779377;0.6354876
0.164283;0.2519316;0.6784625;0.6361824
0.1632587;0.2511578;0.678997;0.636957
0.1622528;0.2502871;0.6796129;0.6377056
0.1611459;0.2495552;0.6802283;0.638461
0.1602552;0.2488504;0.6808938;0.6392135
0.1591032;0.248218;0.6815413;0.6399608
0.1580581;0.2478868;0.6822181;0.6407271
0.1569695;0.2476637;0.6829234;0.6414766
0.155853;0.2472968;0.6837617;0.6422502
0.1547724;0.2470263;0.6845715;0.6430579
0.1537733;0.2466282;0.6853958;0.6439225
0.1527818;0.2462479;0.6861999;0.644694
0.1520291;0.2459957;0.6870265;0.6455054
0.1513748;0.2458536;0.6877733;0.6463128
0.1506232;0.2458785;0.6885269;0.6470727
0.1498567;0.2456109;0.6892496;0.6478403
0.1493471;0.2453643;0.689997;0.6485702
0.1486303;0.2453207;0.6907452;0.6493661
0.1481543;0.2452234;0.6915052;0.6501265
0.147702;0.2452664;0.6922944;0.6509229
0.1471404;0.2452122;0.6930397;0.6516633
0.1467482;0.245136;0.693769;0.6523876
0.1462955;0.2451405;0.6945322;0.6530651
0.1459068;0.2451051;0.6952967;0.6538154
0.1455169;0.2452432;0.6959824;0.6545374
0.1450834;0.2451784;0.6966646;0.6552458
0.1446594;0.2450989;0.6972667;0.6559506
0.1445494;0.2452282;0.6979583;0.6566199
0.1444393;0.2455121;0.698685;0.6573252
0.1445644;0.2459212;0.699463;0.6579888
0.144582;0.2463729;0.7002388;0.6586121
0.1446313;0.246858;0.7010024;0.6592313
0.1447827;0.2472909;0.7017523;0.6598241
0.1450549;0.2477555;0.7024366;0.6604469
0.1450837;0.2481059;0.7032101;0.6610278
0.1451796;0.2485206;0.7039379;0.6616479
0.145521;0.2488023;0.7047183;0.6622319
0.1461402;0.2493903;0.7054985;0.6627857
0.1467174;0.2499047;0.7063068;0.6632831
0.1473511;0.2504956;0.707209;0.6637966
0.1479422;0.2510468;0.7080595;0.6643104
0.1487053;0.2515041;0.7088753;0.6648641
0.1493858;0.2521632;0.7096412;0.6653841
0.1502362;0.2527633;0.7103706;0.6659721
0.1512458;0.2535242;0.7112261;0.6665117
0.1522459;0.2543379;0.7120065;0.6671466
0.1531567;0.255275;0.7127059;0.667727
0.1540599;0.2559767;0.7134285;0.6683137
0.1547367;0.2567396;0.7142089;0.6689398
0.1554159;0.2574947;0.7149728;0.6696015
0.1562869;0.2582554;0.7157268;0.6702419
0.1573607;0.2590603;0.7164401;0.6709017
0.1585803;0.259875;0.7171694;0.6715361
0.1596386;0.2607213;0.717866;0.6721289
0.160534;0.2613983;0.7185769;0.6727123
0.1616151;0.2622016;0.7192645;0.6733216
0.1626831;0.2631592;0.719973;0.673929
0.1636924;0.2639617;0.7207398;0.674504
0.1646061;0.264713;0.7215257;0.6751084
0.1655263;0.2654367;0.7222848;0.6757779
0.1662939;0.2662657;0.7230645;0.6764124
0.1670215;0.2669832;0.7237797;0.6769565
0.1676589;0.2675716;0.7244659;0.6775211
0.1683323;0.2680441;0.7251561;0.6780212
0.1688947;0.2684246;0.7258665;0.6785673
0.1694177;0.2687846;0.7265583;0.6790798
0.1698211;0.2692425;0.7273168;0.6795902
0.1702064;0.2698418;0.728121;0.680146
0.1705309;0.2704551;0.7288611;0.6807227
0.1708159;0.2712785;0.729623;0.6813009
0.1711957;0.2721179;0.7304474;0.6819446
0.1715799;0.2728773;0.7312621;0.682568
0.1720526;0.2735053;0.7320682;0.6832447
0.1724452;0.2742582;0.7329168;0.6839211
0.1728266;0.2749712;0.733793;0.6846153
0.1732508;0.2756468;0.7346086;0.6852901
0.1735171;0.2763211;0.7353444;0.6859211
0.1738613;0.2768736;0.736069;0.6865343
0.1743026;0.2775096;0.7367505;0.6871881
0.1746267;0.2781654;0.7373934;0.6877928
0.1750864;0.2788655;0.7380243;0.6884407
0.175518;0.2795286;0.7387696;0.689057
0.1759323;0.2799648;0.7394775;0.6897995
0.1761923;0.2805811;0.7401897;0.6904895
0.1764876;0.2812499;0.7409075;0.6911687
0.1767913;0.2819164;0.7415564;0.69184
0.1770504;0.2825606;0.7422641;0.692515
0.1772443;0.2831977;0.7429445;0.6931825
0.1772888;0.2837612;0.7436505;0.6937938
0.1773438;0.284285;0.744424;0.6943884
0.1772956;0.2848578;0.7451356;0.6949952
0.1772116;0.2853213;0.7458083;0.6956094
0.1771711;0.2857281;0.7464044;0.6962197
0.1771436;0.2862905;0.7470353;0.6968158
0.177107;0.286714;0.7476611;0.6974871
0.1770979;0.2873422;0.7483345;0.6981051
0.1771154;0.2877127;0.7490478;0.6987278
0.1769403;0.2880918;0.7497028;0.6994452
0.1768243;0.2885072;0.7503959;0.700235
0.1766756;0.2889893;0.7510367;0.7010031
0.1765895;0.289337;0.7516559;0.701817
0.1763299;0.2895893;0.7523277;0.7025542
0.1762811;0.2901031;0.7529623;0.7031691
0.1761219;0.2902329;0.753641;0.7038309
0.1759571;0.2904161;0.7541838;0.7044904
0.1758341;0.2904533;0.754752;0.7051092
0.1755926;0.2905195;0.7553678;0.7057582
0.1753008;0.2906339;0.7560065;0.7064389
0.1751164;0.2906542;0.7566476;0.7070846
0.1746103;0.2905108;0.7572212;0.7077329
0.1743113;0.2905052;0.7578558;0.7083451
0.1739271;0.2906894;0.7585555;0.7089507
0.1735814;0.290855;0.7593713;0.7094935
0.1729359;0.2908354;0.7600976;0.710036
0.1725164;0.2907799;0.760901;0.710637
0.172094;0.2907853;0.7616618;0.7111642
0.1716478;0.2907042;0.7623457;0.7117279
0.1712332;0.2907383;0.7630312;0.7122807
0.1708136;0.2908676;0.7637326;0.7129238
0.1703354;0.2910325;0.7645376;0.7134972
0.1699642;0.2912924;0.7653468;0.7140825
