voltage,motion,temperature,sound,voc,illuminace,humidity,timestamp
6.58,25,24.34,66.8,29,541.26,32.14,2021-10-23T12:09:11.952185
6.58,25,24.34,66.8,29,541.26,32.14,2021-10-23T12:09:11.959259
6.58,25,24.34,70.76,29,541.26,32.14,2021-10-23T12:09:12.502098
6.58,25,24.34,70.76,29,541.26,32.14,2021-10-23T12:09:12.511987
6.58,25,24.34,70.76,29,540.87,32.14,2021-10-23T12:09:12.532732
6.58,25,24.34,70.76,27,540.87,32.14,2021-10-23T12:09:12.545708
6.58,25,24.34,70.76,27,540.87,32.14,2021-10-23T12:09:12.570467
6.58,25,24.34,70.76,27,540.87,32.14,2021-10-23T12:09:12.597948
6.58,20,24.34,70.76,27,540.87,32.14,2021-10-23T12:09:12.698728
6.58,20,24.34,70.76,27,540.87,32.14,2021-10-23T12:09:12.703620
6.58,20,24.34,66.13,27,540.87,32.14,2021-10-23T12:09:13.112308
6.58,20,24.34,66.13,27,540.87,32.14,2021-10-23T12:09:13.184820
6.84,20,24.34,66.13,27,540.87,32.14,2021-10-23T12:09:13.186987
6.84,20,24.34,66.13,27,540.87,32.14,2021-10-23T12:09:13.236002
6.84,20,24.34,66.13,27,5.71,32.14,2021-10-23T12:09:13.263984
6.84,20,24.34,66.13,27,5.71,32.14,2021-10-23T12:09:13.307925
6.84,29,24.34,66.13,27,5.71,32.14,2021-10-23T12:09:13.452662
6.84,29,24.34,66.13,27,5.71,32.14,2021-10-23T12:09:13.510118
6.84,29,24.34,67.53,27,5.71,32.14,2021-10-23T12:09:14.131038
